timestamp,camera_id,street_monitored,car_count,bus_count,truck_count,motorcycle_count,total_vehicles,occupancy_rate,flow_rate_per_min,avg_speed,avg_density,zone_id,duration_seconds
1764640087.04,CAM_001,Av. Javier Prado,33,1,7,0,41,0.0423,41,27.32,0.97,zone1,60.02
1764640147.08,CAM_001,Av. Javier Prado,21,1,3,0,25,0.0242,25,17.03,0.67,zone1,60.03
1764640207.08,CAM_001,Av. Javier Prado,90,4,17,0,111,0.0559,111,29.87,1.66,zone1,60.01
1764640267.10,CAM_001,Av. Javier Prado,17,4,4,0,25,0.0205,25,23.48,0.42,zone1,60.02
1764640327.11,CAM_001,Av. Javier Prado,85,14,19,0,118,0.1063,118,20.96,2.25,zone1,60.01
1764640387.11,CAM_001,Av. Javier Prado,51,3,5,0,59,0.0280,59,39.58,0.77,zone1,60.00
1764640447.13,CAM_001,Av. Javier Prado,41,1,13,0,55,0.0485,55,26.42,1.01,zone1,60.01
1764640507.15,CAM_001,Av. Javier Prado,88,6,20,0,114,0.0761,114,35.76,1.66,zone1,60.02
1764640567.17,CAM_001,Av. Javier Prado,5,0,0,0,5,0.0007,5,13.23,0.04,zone1,60.02
1764640627.19,CAM_001,Av. Javier Prado,75,15,27,1,118,0.0823,118,30.51,1.69,zone1,60.02
1764640687.22,CAM_001,Av. Javier Prado,16,1,1,0,18,0.0086,18,33.17,0.30,zone1,60.03
1764640747.23,CAM_001,Av. Javier Prado,91,5,14,0,110,0.0657,110,24.75,1.84,zone1,60.01
1764640807.25,CAM_001,Av. Javier Prado,51,5,11,1,68,0.0336,68,36.19,0.76,zone1,60.02
1764640867.25,CAM_001,Av. Javier Prado,52,8,7,2,69,0.0746,69,15.55,1.29,zone1,60.00
1764640927.27,CAM_001,Av. Javier Prado,89,19,18,0,126,0.0835,126,27.83,1.94,zone1,60.02
1764640987.30,CAM_001,Av. Javier Prado,6,3,1,0,10,0.0049,10,14.45,0.20,zone1,60.03
1764641047.30,CAM_001,Av. Javier Prado,106,4,31,0,141,0.1162,141,29.27,2.63,zone1,60.00
1764641107.33,CAM_001,Av. Javier Prado,9,1,5,0,15,0.0074,15,46.68,0.22,zone1,60.03
1764641167.35,CAM_001,Av. Javier Prado,84,8,9,0,101,0.0879,101,26.63,1.67,zone1,60.03
1764641227.36,CAM_001,Av. Javier Prado,58,5,8,0,71,0.0410,71,29.44,1.19,zone1,60.01
1764641287.39,CAM_001,Av. Javier Prado,43,5,13,0,61,0.0508,61,25.82,1.04,zone1,60.03
1764641347.42,CAM_001,Av. Javier Prado,102,14,14,0,130,0.0895,130,22.50,2.40,zone1,60.02
1764641407.44,CAM_001,Av. Javier Prado,7,3,3,0,13,0.0117,13,15.23,0.35,zone1,60.02
1764641467.45,CAM_001,Av. Javier Prado,79,15,20,0,114,0.0909,114,29.62,1.83,zone1,60.01
1764641527.45,CAM_001,Av. Javier Prado,17,1,5,0,23,0.0086,23,30.41,0.27,zone1,60.00
1764641587.48,CAM_001,Av. Javier Prado,70,16,22,1,109,0.0615,109,23.99,1.43,zone1,60.03
1764641647.50,CAM_001,Av. Javier Prado,75,4,11,0,90,0.0509,90,28.80,1.42,zone1,60.02
1764641707.53,CAM_001,Av. Javier Prado,45,2,6,0,53,0.0466,53,21.37,1.31,zone1,60.02
1764641767.54,CAM_001,Av. Javier Prado,89,16,24,0,129,0.0755,129,35.28,1.54,zone1,60.01
1764641827.56,CAM_001,Av. Javier Prado,3,3,1,0,7,0.0103,7,14.13,0.22,zone1,60.03
1764641887.59,CAM_001,Av. Javier Prado,99,15,30,0,144,0.1400,144,25.66,2.56,zone1,60.02
1764641947.62,CAM_001,Av. Javier Prado,17,5,5,0,27,0.0154,27,39.48,0.31,zone1,60.03
1764642007.64,CAM_001,Av. Javier Prado,66,12,24,1,103,0.1279,103,18.39,2.17,zone1,60.02
1764642067.66,CAM_001,Av. Javier Prado,71,12,12,0,95,0.0504,95,33.48,1.23,zone1,60.01
1764642127.68,CAM_001,Av. Javier Prado,44,8,11,0,63,0.0488,63,22.33,1.14,zone1,60.02
1764642187.68,CAM_001,Av. Javier Prado,70,16,11,0,97,0.0727,97,30.98,1.24,zone1,60.00
1764642247.70,CAM_001,Av. Javier Prado,12,3,0,1,16,0.0038,16,4.56,0.29,zone1,60.02
1764642307.70,CAM_001,Av. Javier Prado,80,12,17,0,109,0.0923,109,26.07,1.99,zone1,60.00
1764642367.73,CAM_001,Av. Javier Prado,11,7,3,0,21,0.0137,21,34.80,0.23,zone1,60.03
1764642427.76,CAM_001,Av. Javier Prado,84,5,11,0,100,0.0856,100,23.09,1.75,zone1,60.03
1764642487.79,CAM_001,Av. Javier Prado,54,7,16,0,77,0.0530,77,32.99,1.20,zone1,60.03
1764642547.79,CAM_001,Av. Javier Prado,49,3,6,2,60,0.0486,60,18.26,1.29,zone1,60.00
1764642607.83,CAM_001,Av. Javier Prado,72,6,13,0,91,0.0383,91,29.08,1.21,zone1,60.03
1764642667.85,CAM_001,Av. Javier Prado,12,0,1,0,13,0.0089,13,7.46,0.44,zone1,60.02
1764642727.88,CAM_001,Av. Javier Prado,117,7,21,0,145,0.0913,145,27.52,2.34,zone1,60.03
1764642787.88,CAM_001,Av. Javier Prado,24,3,6,0,33,0.0213,33,31.37,0.48,zone1,60.00
1764642847.91,CAM_001,Av. Javier Prado,74,9,20,0,103,0.1114,103,17.00,2.47,zone1,60.02
1764642907.91,CAM_001,Av. Javier Prado,52,3,2,0,57,0.0374,57,28.35,1.01,zone1,60.00
1764642967.92,CAM_001,Av. Javier Prado,39,7,9,0,55,0.0388,55,18.75,1.06,zone1,60.02
1764643027.95,CAM_001,Av. Javier Prado,67,5,9,1,82,0.0469,82,31.92,1.22,zone1,60.02
1764643087.96,CAM_001,Av. Javier Prado,5,0,0,0,5,0.0022,5,9.79,0.11,zone1,60.01
1764643147.97,CAM_001,Av. Javier Prado,68,8,40,1,117,0.0951,117,33.80,1.65,zone1,60.01
1764643208.00,CAM_001,Av. Javier Prado,14,1,5,0,20,0.0075,20,36.17,0.25,zone1,60.03
1764643268.01,CAM_001,Av. Javier Prado,77,7,16,2,102,0.0673,102,24.90,1.54,zone1,60.02
1764643328.03,CAM_001,Av. Javier Prado,34,1,10,0,45,0.0256,45,35.12,0.66,zone1,60.01
1764643388.06,CAM_001,Av. Javier Prado,44,10,6,0,60,0.0752,60,19.83,1.36,zone1,60.03
1764643448.08,CAM_001,Av. Javier Prado,77,10,17,0,104,0.0667,104,33.14,1.41,zone1,60.02
1764643508.11,CAM_001,Av. Javier Prado,15,0,0,0,15,0.0043,15,11.69,0.23,zone1,60.03
1764643568.13,CAM_001,Av. Javier Prado,95,12,20,0,127,0.1682,127,24.17,2.44,zone1,60.02
1764643628.14,CAM_001,Av. Javier Prado,7,0,0,0,7,0.0034,7,50.16,0.10,zone1,60.01
1764643688.14,CAM_001,Av. Javier Prado,73,2,7,0,82,0.0771,82,24.43,1.71,zone1,60.00
1764643748.18,CAM_001,Av. Javier Prado,21,1,2,0,24,0.0169,24,43.73,0.39,zone1,60.03
