timestamp,datetime,zone_id,duration_seconds,avg_density,avg_speed,vehicle_types
1764198361.618656,2025-11-26 18:06:01,zone1,5.0206568241119385,3.38,,{}
1764198366.656221,2025-11-26 18:06:06,zone1,5.037564992904663,4.14,,{}
1764198372.26284,2025-11-26 18:06:12,zone1,5.606619119644165,4.47,,{}
1764198377.2903092,2025-11-26 18:06:17,zone1,5.027469158172607,5.67,,{}
1764198382.3266728,2025-11-26 18:06:22,zone1,5.03636360168457,7.38,,{}
1764198387.376029,2025-11-26 18:06:27,zone1,5.04935622215271,8.70,,{}
1764198392.449439,2025-11-26 18:06:32,zone1,5.0734100341796875,9.86,,{}
1764198397.497008,2025-11-26 18:06:37,zone1,5.047569036483765,8.69,,{}
1764198402.521446,2025-11-26 18:06:42,zone1,5.02443790435791,7.06,,{}
1764198407.597922,2025-11-26 18:06:47,zone1,5.076476097106934,7.48,,{}
1764198412.628188,2025-11-26 18:06:52,zone1,5.030265808105469,5.67,,{}
1764198417.680278,2025-11-26 18:06:57,zone1,5.052090167999268,7.31,,{}
1764198422.7143219,2025-11-26 18:07:02,zone1,5.034043788909912,4.32,,{}
1764198427.743145,2025-11-26 18:07:07,zone1,5.028823137283325,4.36,,{}
1764198432.768887,2025-11-26 18:07:12,zone1,5.025742053985596,3.48,,{}
1764198438.254452,2025-11-26 18:07:18,zone1,5.485564947128296,2.05,,{}
1764198443.285704,2025-11-26 18:07:23,zone1,5.031251907348633,2.06,,{}
1764198448.321902,2025-11-26 18:07:28,zone1,5.036198139190674,2.60,,{}
1764198453.388742,2025-11-26 18:07:33,zone1,5.066839933395386,3.87,,{}
1764198458.4616199,2025-11-26 18:07:38,zone1,5.072877883911133,4.14,,{}
1764198463.469307,2025-11-26 18:07:43,zone1,5.007687091827393,4.40,,{}
1764198468.497281,2025-11-26 18:07:48,zone1,5.0279741287231445,4.11,,{}
1764198473.521916,2025-11-26 18:07:53,zone1,5.024634838104248,4.10,,{}
1764198478.750475,2025-11-26 18:07:58,zone1,5.2285590171813965,4.40,,{}
1764198483.782905,2025-11-26 18:08:03,zone1,5.032430171966553,4.35,,{}
1764198488.797057,2025-11-26 18:08:08,zone1,5.0141518115997314,5.27,,{}
1764198493.816679,2025-11-26 18:08:13,zone1,5.019622087478638,4.93,,{}
1764198499.232131,2025-11-26 18:08:19,zone1,5.415452003479004,4.67,,{}
1764198504.312416,2025-11-26 18:08:24,zone1,5.08028507232666,4.61,,{}
1764198509.378483,2025-11-26 18:08:29,zone1,5.0660669803619385,5.16,,{}
1764198514.405159,2025-11-26 18:08:34,zone1,5.0266759395599365,4.20,,{}
1764198519.468344,2025-11-26 18:08:39,zone1,5.063184976577759,4.66,,{}
1764198524.7012749,2025-11-26 18:08:44,zone1,5.232930898666382,4.64,,{}
1764198529.732543,2025-11-26 18:08:49,zone1,5.031268119812012,4.64,,{}
1764198534.733021,2025-11-26 18:08:54,zone1,5.000478029251099,3.49,,{}
1764198540.323719,2025-11-26 18:09:00,zone1,5.590698003768921,2.98,,{}
1764198545.3263612,2025-11-26 18:09:05,zone1,5.0026421546936035,1.82,,{}
1764198550.3365371,2025-11-26 18:09:10,zone1,5.010175943374634,2.49,,{}
1764198555.367811,2025-11-26 18:09:15,zone1,5.03127384185791,3.50,,{}
1764198560.416037,2025-11-26 18:09:20,zone1,5.0482261180877686,5.23,,{}
1764198565.4658701,2025-11-26 18:09:25,zone1,5.049833059310913,5.59,,{}
1764198570.714098,2025-11-26 18:09:30,zone1,5.248227834701538,5.89,,{}
1764198575.7569861,2025-11-26 18:09:35,zone1,5.042888164520264,6.54,,{}
1764198588.408493,2025-11-26 18:09:48,zone1,5.002151966094971,1.00,,{}
1764198593.516593,2025-11-26 18:09:53,zone1,5.108099937438965,0.96,,{}
1764198598.563978,2025-11-26 18:09:58,zone1,5.047384977340698,0.91,,{}
1764198603.567265,2025-11-26 18:10:03,zone1,5.003287076950073,1.00,,{}
1764198608.893379,2025-11-26 18:10:08,zone1,5.326113939285278,1.79,,{}
1764198613.969929,2025-11-26 18:10:13,zone1,5.076550006866455,1.75,,{}
1764198619.203688,2025-11-26 18:10:19,zone1,5.233758926391602,2.79,,{}
1764199992.4255528,2025-11-26 18:33:12,zone1,60.103829860687256,8.50,,{}
1764200052.684263,2025-11-26 18:34:12,zone1,60.25871014595032,1.55,,{}
1764200112.712286,2025-11-26 18:35:12,zone1,60.02802300453186,2.91,,{}
1764200172.717152,2025-11-26 18:36:12,zone1,60.00486612319946,7.58,,{}
1764200232.734617,2025-11-26 18:37:12,zone1,60.01746487617493,2.46,,{}
1764200292.850877,2025-11-26 18:38:12,zone1,60.116260051727295,3.09,,{}
1764200352.868303,2025-11-26 18:39:12,zone1,60.01742601394653,6.85,,{}
1764200412.88485,2025-11-26 18:40:12,zone1,60.016546964645386,3.42,,{}
1764200472.885653,2025-11-26 18:41:12,zone1,60.000802993774414,6.41,,{}
1764200532.929846,2025-11-26 18:42:12,zone1,60.04419302940369,4.08,,{}
1764200592.9433699,2025-11-26 18:43:12,zone1,60.01352381706238,3.11,,{}
1764200653.878998,2025-11-26 18:44:13,zone1,60.935628175735474,8.30,,{}
1764200713.887342,2025-11-26 18:45:13,zone1,60.00834393501282,2.79,,{}
1764200773.8929532,2025-11-26 18:46:13,zone1,60.005611181259155,4.59,,{}
1764200833.8945322,2025-11-26 18:47:13,zone1,60.00157904624939,6.34,,{}
1764200894.2270138,2025-11-26 18:48:14,zone1,60.33248162269592,2.68,,{}
1764200954.2554061,2025-11-26 18:49:14,zone1,60.02839231491089,5.95,,{}
1764201014.294917,2025-11-26 18:50:14,zone1,60.03951096534729,1.33,,{}
1764201074.295666,2025-11-26 18:51:14,zone1,60.00074887275696,2.25,,{}
1764201134.665241,2025-11-26 18:52:14,zone1,60.36957502365112,4.89,,{}
1764201194.683004,2025-11-26 18:53:14,zone1,60.017762899398804,1.67,,{}
1764201255.1499689,2025-11-26 18:54:15,zone1,60.46696496009827,3.57,,{}
