timestamp,camera_id,street_monitored,car_count,bus_count,truck_count,motorcycle_count,total_vehicles,occupancy_rate,flow_rate_per_min,avg_speed,avg_density,zone_id,duration_seconds
1764283434.99,CAM_001,Av. Javier Prado,6,0,0,0,6,0.1786,7,13.71,6.11,zone1,5.34
1764283440.01,CAM_001,Av. Javier Prado,1,0,0,0,1,0.0297,6,13.91,1.33,zone1,5.02
1764283445.02,CAM_001,Av. Javier Prado,0,0,0,0,0,0.0284,2,30.13,0.86,zone1,5.01
1764283450.03,CAM_001,Av. Javier Prado,1,0,0,0,1,0.0218,3,15.68,1.16,zone1,5.00
1764283455.04,CAM_001,Av. Javier Prado,0,0,0,0,0,0.0000,0,0.00,0.00,zone1,5.02
1764283769.54,CAM_001,Av. Javier Prado,4,0,0,0,4,0.2543,32,5.19,4.40,zone1,60.01
1764284213.15,CAM_001,Av. Javier Prado,2,0,0,0,2,0.0866,16,2.50,2.32,zone1,60.04
1764284273.17,CAM_001,Av. Javier Prado,0,0,0,0,0,0.0289,26,22.24,0.91,zone1,60.02
1764284298.83,CAM_001,Av. Javier Prado,1,0,0,0,1,0.0442,16,21.00,1.04,zone1,60.01
1764284333.18,CAM_001,Av. Javier Prado,1,0,0,0,1,0.0477,21,9.63,1.25,zone1,60.01
1764284358.84,CAM_001,Av. Javier Prado,2,0,0,0,3,0.1291,49,7.57,3.02,zone1,60.00
1764284465.75,CAM_001,Av. Javier Prado,1,0,0,0,1,0.0453,24,22.34,1.21,zone1,60.02
1764284525.77,CAM_001,Av. Javier Prado,3,0,0,0,3,0.1101,43,5.08,3.14,zone1,60.02
1764284585.79,CAM_001,Av. Javier Prado,2,0,0,0,2,0.0806,53,18.53,2.10,zone1,60.02
1764284645.94,CAM_001,Av. Javier Prado,0,0,0,0,0,0.0345,27,21.04,0.93,zone1,60.15
1764284706.13,CAM_001,Av. Javier Prado,1,0,0,0,1,0.0146,1,0.00,1.00,zone1,6.75
1764284728.70,CAM_001,Av. Javier Prado,1,0,0,0,1,0.0675,1,0.00,1.00,zone1,5.51
1764284733.73,CAM_001,Av. Javier Prado,2,0,0,0,2,0.0375,2,17.91,1.07,zone1,5.03
1764284738.77,CAM_001,Av. Javier Prado,5,0,3,0,6,0.0530,6,26.38,0.85,zone1,5.04
1764284743.80,CAM_001,Av. Javier Prado,5,0,4,0,7,0.1365,7,22.26,3.42,zone1,5.02
1764284748.82,CAM_001,Av. Javier Prado,7,0,1,0,7,0.0642,7,13.38,2.08,zone1,5.03
