timestamp,camera_id,street_monitored,car_count,bus_count,truck_count,motorcycle_count,total_vehicles,occupancy_rate,flow_rate_per_min,avg_speed,avg_density,zone_id,duration_seconds
1764548148.66,CAM_001,Av. Javier Prado,0,0,0,0,0,0.0000,0,0.00,0.00,zone1,60.05
1764549196.73,CAM_001,Av. Javier Prado,72,5,17,0,94,0.0452,94,34.28,1.37,zone1,60.01
1764549256.75,CAM_001,Av. Javier Prado,6,3,1,0,10,0.0044,10,9.34,0.19,zone1,60.02
1764549316.79,CAM_001,Av. Javier Prado,107,3,28,0,138,0.1106,138,25.75,2.41,zone1,60.04
1764549376.81,CAM_001,Av. Javier Prado,32,2,3,1,38,0.0145,38,35.43,0.43,zone1,60.02
1764549436.82,CAM_001,Av. Javier Prado,52,7,17,1,77,0.0482,77,26.55,1.05,zone1,60.01
1764549813.78,CAM_001,Av. Javier Prado,1,0,0,0,1,0.0000,1,0.00,0.00,zone1,60.05
1764550025.72,CAM_001,Av. Javier Prado,80,8,20,0,108,0.0605,108,23.97,1.44,zone1,60.01
1764550435.37,CAM_001,Av. Javier Prado,78,6,19,0,103,0.0749,103,21.36,1.97,zone1,60.02
1764550495.37,CAM_001,Av. Javier Prado,39,3,20,0,62,0.0268,62,41.41,0.61,zone1,60.00
1764550605.21,CAM_001,Av. Javier Prado,3,1,17,74,95,0.2155,95,10.77,2.42,zone1,60.03
1764550665.25,CAM_001,Av. Javier Prado,5,26,46,24,101,0.3262,101,8.75,2.60,zone1,60.04
1764550751.54,CAM_001,Av. Javier Prado,35,0,6,67,108,0.0448,108,11.18,1.77,zone1,60.02
1764550811.54,CAM_001,Av. Javier Prado,48,18,30,99,195,0.1113,195,17.34,2.65,zone1,60.01
1764550871.57,CAM_001,Av. Javier Prado,31,0,14,95,140,0.0590,140,9.67,2.34,zone1,60.02
1764550931.60,CAM_001,Av. Javier Prado,23,6,11,133,173,0.0918,173,10.63,2.73,zone1,60.04
1764550992.00,CAM_001,Av. Javier Prado,7,9,27,21,64,0.0411,64,35.43,0.80,zone1,60.40
1764551052.04,CAM_001,Av. Javier Prado,19,4,16,131,170,0.0605,170,6.97,2.09,zone1,60.04
1764551112.09,CAM_001,Av. Javier Prado,37,22,32,109,200,0.0765,200,18.75,2.13,zone1,60.05
1764551172.09,CAM_001,Av. Javier Prado,23,27,39,98,187,0.0628,187,11.74,2.45,zone1,60.00
1764551264.23,CAM_001,Av. Javier Prado,12,7,5,19,43,0.0767,43,60.68,1.10,zone1,60.22
1764551325.24,CAM_001,Av. Javier Prado,6,2,4,11,23,0.0267,23,16.86,0.79,zone1,61.01
1764551386.69,CAM_001,Av. Javier Prado,14,11,5,23,53,0.0997,53,38.95,1.69,zone1,61.45
1764551447.79,CAM_001,Av. Javier Prado,10,4,7,9,30,0.0363,30,60.01,0.90,zone1,61.10
1764551509.87,CAM_001,Av. Javier Prado,12,2,8,27,49,0.0642,49,31.17,1.69,zone1,62.07
1764551570.47,CAM_001,Av. Javier Prado,18,3,6,5,32,0.0677,32,45.84,1.48,zone1,60.60
1764551652.24,CAM_001,Av. Javier Prado,10,8,6,9,33,0.1159,33,46.95,1.86,zone1,60.04
1764551716.35,CAM_001,Av. Javier Prado,9,1,4,25,39,0.0557,39,43.65,0.98,zone1,64.12
1764552521.51,CAM_001,Av. Javier Prado,26,20,19,103,168,0.1063,168,9.83,2.85,zone1,60.03
1764552581.53,CAM_001,Av. Javier Prado,23,20,19,92,154,0.0824,154,16.91,2.22,zone1,60.02
1764552641.56,CAM_001,Av. Javier Prado,29,5,9,48,91,0.0696,91,7.12,3.73,zone1,60.03
1764552701.58,CAM_001,Av. Javier Prado,41,16,19,86,162,0.1128,162,14.58,2.14,zone1,60.02
1764553286.56,CAM_001,Av. Javier Prado,66,10,8,0,84,0.0376,84,35.18,0.95,zone1,60.02
1764553346.58,CAM_001,Av. Javier Prado,32,1,4,0,37,0.0245,37,18.60,0.71,zone1,60.02
1764553406.60,CAM_001,Av. Javier Prado,85,15,17,0,117,0.0804,117,21.41,1.99,zone1,60.03
