timestamp,camera_id,street_monitored,car_count,bus_count,truck_count,motorcycle_count,total_vehicles,occupancy_rate,flow_rate_per_min,avg_speed,avg_density,zone_id,duration_seconds
1765150354.34,CAM_001,Av. Javier Prado,13,3,2,0,18,0.0349,18,24.10,0.37,zone1,60.10
1765150354.34,CAM_002,Av. Arequipa,40,4,1,0,45,0.0258,45,11.27,1.85,zone2,60.10
1765150354.34,CAM_003,Av. Salaverry,40,4,1,0,45,0.0258,45,11.27,1.85,zone3,60.10
1765150354.34,CAM_004,Av. Petit Thouars,40,4,1,0,45,0.0258,45,11.27,1.85,zone4,60.10
1765150359.89,CAM_001,Av. Javier Prado,15,0,0,0,15,0.0574,15,2.53,2.36,zone1,60.05
1765150359.89,CAM_002,Av. Arequipa,20,0,0,0,20,0.0351,20,2.50,2.84,zone2,60.05
1765150359.89,CAM_003,Av. Salaverry,20,0,0,0,20,0.0351,20,2.50,2.84,zone3,60.05
1765150359.89,CAM_004,Av. Petit Thouars,20,0,0,0,20,0.0351,20,2.50,2.84,zone4,60.05
1765150366.46,CAM_001,Av. Javier Prado,6,1,10,18,35,0.0795,35,9.27,1.38,zone1,60.10
1765150366.46,CAM_002,Av. Arequipa,12,1,14,32,59,0.1050,59,4.90,4.23,zone2,60.10
1765150366.46,CAM_003,Av. Salaverry,12,1,14,32,59,0.1050,59,4.90,4.23,zone3,60.10
1765150366.46,CAM_004,Av. Petit Thouars,12,1,14,32,59,0.1050,59,4.90,4.23,zone4,60.10
1765150373.26,CAM_001,Av. Javier Prado,8,4,5,27,44,0.0675,44,10.23,1.12,zone1,60.10
1765150373.26,CAM_002,Av. Arequipa,14,12,9,59,94,0.0294,94,3.86,3.29,zone2,60.10
1765150373.26,CAM_003,Av. Salaverry,14,12,9,59,94,0.0294,94,3.86,3.29,zone3,60.10
1765150373.26,CAM_004,Av. Petit Thouars,14,12,9,59,94,0.0294,94,3.86,3.29,zone4,60.10
1765150414.40,CAM_001,Av. Javier Prado,0,1,0,0,1,0.0001,1,15.62,0.00,zone1,60.06
1765150414.40,CAM_002,Av. Arequipa,48,4,3,0,55,0.0154,55,2.94,2.67,zone2,60.06
1765150414.40,CAM_003,Av. Salaverry,48,4,3,0,55,0.0154,55,2.94,2.67,zone3,60.06
1765150414.40,CAM_004,Av. Petit Thouars,48,4,3,0,55,0.0154,55,2.94,2.67,zone4,60.06
1765150420.01,CAM_001,Av. Javier Prado,39,0,0,0,39,0.1121,39,4.74,3.89,zone1,60.12
1765150420.01,CAM_002,Av. Arequipa,32,0,0,0,32,0.0340,32,4.07,3.10,zone2,60.12
1765150420.01,CAM_003,Av. Salaverry,32,0,0,0,32,0.0340,32,4.07,3.10,zone3,60.12
1765150420.01,CAM_004,Av. Petit Thouars,32,0,0,0,32,0.0340,32,4.07,3.10,zone4,60.12
1765150426.54,CAM_001,Av. Javier Prado,5,3,10,28,46,0.1567,46,9.20,1.60,zone1,60.07
1765150426.54,CAM_002,Av. Arequipa,15,3,23,33,74,0.1464,74,4.56,4.57,zone2,60.07
1765150426.54,CAM_003,Av. Salaverry,15,3,23,33,74,0.1464,74,4.56,4.57,zone3,60.07
1765150426.54,CAM_004,Av. Petit Thouars,15,3,23,33,74,0.1464,74,4.56,4.57,zone4,60.07
1765150433.29,CAM_001,Av. Javier Prado,7,7,11,26,51,0.0713,51,15.13,1.18,zone1,60.02
1765150433.29,CAM_002,Av. Arequipa,23,17,17,69,126,0.0514,126,9.52,3.86,zone2,60.02
1765150433.29,CAM_003,Av. Salaverry,23,17,17,69,126,0.0514,126,9.52,3.86,zone3,60.02
1765150433.29,CAM_004,Av. Petit Thouars,23,17,17,69,126,0.0514,126,9.52,3.86,zone4,60.02
1765150474.45,CAM_001,Av. Javier Prado,31,4,9,0,44,0.0541,44,12.93,1.18,zone1,60.05
1765150474.45,CAM_002,Av. Arequipa,72,5,13,0,90,0.0514,90,8.04,3.74,zone2,60.05
1765150474.45,CAM_003,Av. Salaverry,72,5,13,0,90,0.0514,90,8.04,3.74,zone3,60.05
1765150474.45,CAM_004,Av. Petit Thouars,72,5,13,0,90,0.0514,90,8.04,3.74,zone4,60.05
1765150480.03,CAM_001,Av. Javier Prado,29,0,0,0,29,0.0742,29,6.50,2.40,zone1,60.02
1765150480.03,CAM_002,Av. Arequipa,42,0,0,0,42,0.0221,42,6.20,1.85,zone2,60.02
1765150480.03,CAM_003,Av. Salaverry,42,0,0,0,42,0.0221,42,6.20,1.85,zone3,60.02
1765150480.03,CAM_004,Av. Petit Thouars,42,0,0,0,42,0.0221,42,6.20,1.85,zone4,60.02
1765150486.61,CAM_001,Av. Javier Prado,3,4,8,11,26,0.1025,26,11.40,0.97,zone1,60.07
1765150486.61,CAM_002,Av. Arequipa,16,4,13,17,50,0.0872,50,4.76,3.46,zone2,60.07
1765150486.61,CAM_003,Av. Salaverry,16,4,13,17,50,0.0872,50,4.76,3.46,zone3,60.07
1765150486.61,CAM_004,Av. Petit Thouars,16,4,13,17,50,0.0872,50,4.76,3.46,zone4,60.07
1765150493.43,CAM_001,Av. Javier Prado,10,5,7,36,58,0.0705,58,6.69,1.12,zone1,60.14
1765150493.43,CAM_002,Av. Arequipa,27,11,10,95,143,0.0383,143,4.52,4.77,zone2,60.14
1765150493.43,CAM_003,Av. Salaverry,27,11,10,95,143,0.0383,143,4.52,4.77,zone3,60.14
1765150493.43,CAM_004,Av. Petit Thouars,27,11,10,95,143,0.0383,143,4.52,4.77,zone4,60.14
1765150534.52,CAM_001,Av. Javier Prado,3,1,0,0,4,0.0054,4,26.80,0.09,zone1,60.06
1765150534.52,CAM_002,Av. Arequipa,32,2,1,0,35,0.0235,35,2.93,2.87,zone2,60.06
1765150534.52,CAM_003,Av. Salaverry,32,2,1,0,35,0.0235,35,2.93,2.87,zone3,60.06
1765150534.52,CAM_004,Av. Petit Thouars,32,2,1,0,35,0.0235,35,2.93,2.87,zone4,60.06
1765150540.04,CAM_001,Av. Javier Prado,20,0,0,0,20,0.0650,20,4.34,2.43,zone1,60.01
1765150540.04,CAM_002,Av. Arequipa,20,0,0,0,20,0.0218,20,4.99,1.90,zone2,60.01
1765150540.04,CAM_003,Av. Salaverry,20,0,0,0,20,0.0218,20,4.99,1.90,zone3,60.01
1765150540.04,CAM_004,Av. Petit Thouars,20,0,0,0,20,0.0218,20,4.99,1.90,zone4,60.01
1765150546.67,CAM_001,Av. Javier Prado,6,4,10,17,37,0.0968,37,9.22,1.21,zone1,60.07
1765150546.67,CAM_002,Av. Arequipa,17,4,12,33,66,0.0921,66,5.08,3.69,zone2,60.07
1765150546.67,CAM_003,Av. Salaverry,17,4,12,33,66,0.0921,66,5.08,3.69,zone3,60.07
1765150546.67,CAM_004,Av. Petit Thouars,17,4,12,33,66,0.0921,66,5.08,3.69,zone4,60.07
1765150553.46,CAM_001,Av. Javier Prado,6,8,14,24,52,0.0962,52,12.10,1.59,zone1,60.03
1765150553.46,CAM_002,Av. Arequipa,36,15,24,66,141,0.0636,141,6.14,6.12,zone2,60.03
1765150553.46,CAM_003,Av. Salaverry,36,15,24,66,141,0.0636,141,6.14,6.12,zone3,60.03
1765150553.46,CAM_004,Av. Petit Thouars,36,15,24,66,141,0.0636,141,6.14,6.12,zone4,60.03
1765150594.58,CAM_001,Av. Javier Prado,35,1,4,0,40,0.0722,40,12.95,1.36,zone1,60.07
1765150594.58,CAM_002,Av. Arequipa,101,4,7,0,112,0.0626,112,5.90,5.46,zone2,60.07
1765150594.58,CAM_003,Av. Salaverry,101,4,7,0,112,0.0626,112,5.90,5.46,zone3,60.07
1765150594.58,CAM_004,Av. Petit Thouars,101,4,7,0,112,0.0626,112,5.90,5.46,zone4,60.07
1765150600.14,CAM_001,Av. Javier Prado,14,0,0,0,14,0.0287,14,11.04,0.87,zone1,60.10
1765150600.14,CAM_002,Av. Arequipa,18,0,0,0,18,0.0131,18,6.82,0.93,zone2,60.10
1765150600.14,CAM_003,Av. Salaverry,18,0,0,0,18,0.0131,18,6.82,0.93,zone3,60.10
1765150600.14,CAM_004,Av. Petit Thouars,18,0,0,0,18,0.0131,18,6.82,0.93,zone4,60.10
1765150606.78,CAM_001,Av. Javier Prado,5,2,4,14,25,0.0835,25,8.58,1.18,zone1,60.11
1765150606.78,CAM_002,Av. Arequipa,21,2,9,25,57,0.0722,57,3.51,3.98,zone2,60.11
1765150606.78,CAM_003,Av. Salaverry,21,2,9,25,57,0.0722,57,3.51,3.98,zone3,60.11
1765150606.78,CAM_004,Av. Petit Thouars,21,2,9,25,57,0.0722,57,3.51,3.98,zone4,60.11
1765150613.55,CAM_001,Av. Javier Prado,6,3,11,66,86,0.0622,86,3.48,3.14,zone1,60.09
1765150613.55,CAM_002,Av. Arequipa,23,14,20,146,203,0.0655,203,4.79,6.56,zone2,60.09
1765150613.55,CAM_003,Av. Salaverry,23,14,20,146,203,0.0655,203,4.79,6.56,zone3,60.09
1765150613.55,CAM_004,Av. Petit Thouars,23,14,20,146,203,0.0655,203,4.79,6.56,zone4,60.09
1765150654.60,CAM_001,Av. Javier Prado,28,1,3,0,32,0.0245,32,18.61,0.62,zone1,60.02
1765150654.60,CAM_002,Av. Arequipa,94,4,3,0,101,0.0350,101,6.95,3.52,zone2,60.02
1765150654.60,CAM_003,Av. Salaverry,94,4,3,0,101,0.0350,101,6.95,3.52,zone3,60.02
1765150654.60,CAM_004,Av. Petit Thouars,94,4,3,0,101,0.0350,101,6.95,3.52,zone4,60.02
1765150660.23,CAM_001,Av. Javier Prado,22,0,2,0,24,0.0319,24,11.53,0.96,zone1,60.08
1765150660.23,CAM_002,Av. Arequipa,31,0,2,0,33,0.0177,33,8.08,1.25,zone2,60.08
1765150660.23,CAM_003,Av. Salaverry,31,0,2,0,33,0.0177,33,8.08,1.25,zone3,60.08
1765150660.23,CAM_004,Av. Petit Thouars,31,0,2,0,33,0.0177,33,8.08,1.25,zone4,60.08
1765150666.82,CAM_001,Av. Javier Prado,1,11,10,19,41,0.1182,41,9.86,1.55,zone1,60.04
1765150666.82,CAM_002,Av. Arequipa,11,12,14,28,65,0.1016,65,6.47,3.21,zone2,60.04
1765150666.82,CAM_003,Av. Salaverry,11,12,14,28,65,0.1016,65,6.47,3.21,zone3,60.04
1765150666.82,CAM_004,Av. Petit Thouars,11,12,14,28,65,0.1016,65,6.47,3.21,zone4,60.04
1765150673.64,CAM_001,Av. Javier Prado,17,10,18,49,94,0.1507,94,8.78,2.77,zone1,60.09
1765150673.64,CAM_002,Av. Arequipa,34,22,18,93,167,0.0709,167,3.93,6.91,zone2,60.09
1765150673.64,CAM_003,Av. Salaverry,34,22,18,93,167,0.0709,167,3.93,6.91,zone3,60.09
1765150673.64,CAM_004,Av. Petit Thouars,34,22,18,93,167,0.0709,167,3.93,6.91,zone4,60.09
